ISSN,datasets,doi,journal,title,url
1573-2959,dataset-623,10.1007/s10661-011-1929-6,Environmental monitoring and assessment,Detection and object-based classification of offshore oil slicks using ENVISAT-ASAR images.,https://doi.org/10.1007/s10661-011-1929-6
1471-2164,dataset-623,10.1186/1471-2164-11-634,BMC genomics,Insights into metazoan evolution from Alvinella pompejana cDNAs.,https://doi.org/10.1186/1471-2164-11-634
1879-0291,dataset-623,10.1016/j.marenvres.2010.10.003,Marine environmental research,Interannual variation of rare earth element abundances in corals from northern coast of the South China Sea and its relation with sea-level change and human activities.,https://doi.org/10.1016/j.marenvres.2010.10.003
1091-6490,dataset-623,10.1073/pnas.1003292107,Proceedings of the National Academy of Sciences of the United States of America,Satellite-based global-ocean mass balance estimates of interannual variability and emerging trends in continental freshwater discharge.,https://doi.org/10.1073/pnas.1003292107
1095-9513,dataset-623,10.1016/j.ympev.2010.08.005,Molecular phylogenetics and evolution,"Elucidating the evolutionary history of the Southeast Asian, holoparasitic, giant-flowered Rafflesiaceae: pliocene vicariance, morphological convergence and character displacement.",https://doi.org/10.1016/j.ympev.2010.08.005
1095-8630,dataset-623,10.1016/j.jenvman.2010.07.013,Journal of environmental management,Using expert opinion to prioritize impacts of climate change on sea turtles' nesting grounds.,https://doi.org/10.1016/j.jenvman.2010.07.013
1051-0761,dataset-623,,Ecological applications : a publication of the Ecological Society of America,Using expert judgment to estimate marine ecosystem vulnerability in the California Current.,
1476-4687,dataset-623,10.1038/nature09043,Nature,Robust warming of the global upper ocean.,https://doi.org/10.1038/nature09043
1468-2044,dataset-623,10.1136/adc.2009.175307,Archives of disease in childhood,"Climate change, water resources and child health.",https://doi.org/10.1136/adc.2009.175307
1938-744X,dataset-623,,Disaster medicine and public health preparedness,Sea-level-rise disaster in Micronesia: sentinel event for climate change?,
1615-9861,dataset-623,10.1002/pmic.200900394,Proteomics,Response of Alvinella pompejana to variable oxygen stress: a proteomic approach.,https://doi.org/10.1002/pmic.200900394
0177-5103,dataset-623,10.3354/dao02099,Diseases of aquatic organisms,Effects of a changing climate on the dynamics of coral infectious disease: a review of the evidence.,https://doi.org/10.3354/dao02099
1476-4687,dataset-623,10.1038/nature08686,Nature,Probabilistic assessment of sea level during the last interglacial stage.,https://doi.org/10.1038/nature08686
1476-4687,dataset-623,10.1038/nature08555,Nature,Catastrophic flood of the Mediterranean after the Messinian salinity crisis.,https://doi.org/10.1038/nature08555
1091-6490,dataset-623,10.1073/pnas.0907765106,Proceedings of the National Academy of Sciences of the United States of America,Global sea level linked to global temperature.,https://doi.org/10.1073/pnas.0907765106
1557-8682,dataset-623,10.1089/ham.2008.1086,High altitude medicine & biology,Blood rheology adjustments in rats after a program of intermittent exposure to hypobaric hypoxia.,https://doi.org/10.1089/ham.2008.1086
1365-294X,dataset-623,10.1111/j.1365-294X.2009.04280.x,Molecular ecology,Range persistence during the last glacial maximum: Carex macrocephala was not restricted to glacial refugia.,https://doi.org/10.1111/j.1365-294X.2009.04280.x
1471-2164,dataset-623,10.1186/1471-2164-10-258,BMC genomics,Generation and analysis of transcriptomic resources for a model system on the rise: the sea anemone Aiptasia pallida and its dinoflagellate endosymbiont.,https://doi.org/10.1186/1471-2164-10-258
1462-2920,dataset-623,10.1111/j.1462-2920.2008.01836.x,Environmental microbiology,Methanogenic community composition and anaerobic carbon turnover in submarine permafrost sediments of the Siberian Laptev Sea.,https://doi.org/10.1111/j.1462-2920.2008.01836.x
1051-0761,dataset-623,,Ecological applications : a publication of the Ecological Society of America,Endogenous and exogenous factors controlling temporal abundance patterns of tropical mosquitoes.,
1573-2959,dataset-623,10.1007/s10661-008-0495-z,Environmental monitoring and assessment,National assessment of sea level rise using topographic and census data for Turkish coastal zone.,https://doi.org/10.1007/s10661-008-0495-z
1523-1739,dataset-623,10.1111/j.1523-1739.2008.00955.x,Conservation biology : the journal of the Society for Conservation Biology,Integrated monitoring and information systems for managing aquatic invasive species in a changing climate.,https://doi.org/10.1111/j.1523-1739.2008.00955.x
1476-4687,dataset-623,10.1038/nature07080,Nature,Improved estimates of upper-ocean warming and multi-decadal sea-level rise.,https://doi.org/10.1038/nature07080
0020-7128,dataset-623,10.1007/s00484-008-0159-2,International journal of biometeorology,Climate change and its impact on birch pollen quantities and the start of the pollen season an example from Switzerland for the period 1969-2006.,https://doi.org/10.1007/s00484-008-0159-2
1050-4648,dataset-623,10.1016/j.fsi.2007.11.020,Fish & shellfish immunology,"Molecular characterization, recombinant expression and bioactivity analysis of the interleukin-1 beta from the yellowfin sea bream, Acanthopagrus latus (Houttuyn).",https://doi.org/10.1016/j.fsi.2007.11.020
1091-6490,dataset-623,,Proceedings of the National Academy of Sciences of the United States of America,Observational evidence for volcanic impact on sea level and the global water cycle.,
1750-3841,dataset-623,,Journal of food science,Residues of polychlorinated biphenyls in edible fish of the Adriatic Sea: assessment of human exposure.,
1421-9980,dataset-623,,Folia primatologica; international journal of primatology,Climatic influences on the evolution of early Homo?,
0006-2928,dataset-623,,Biochemical genetics,Lack of genetic differentiation in the shrimp Penaeus chinensis in the Northwestern Pacific.,
0014-3820,dataset-623,,Evolution; international journal of organic evolution,Diversity and trans-arctic invasion history of mitochondrial lineages in the North Atlantic Macoma balthica complex (Bivalvia: Tellinidae).,
0029-8549,dataset-623,,Oecologia,Seasonal plant water uptake patterns in the saline southeast Everglades ecotone.,
1095-9203,dataset-623,,"Science (New York, N.Y.)",Recent sea-level contributions of the Antarctic and Greenland ice sheets.,
1095-9203,dataset-623,,"Science (New York, N.Y.)",Rapid changes in ice discharge from Greenland outlet glaciers.,
0044-7447,dataset-623,,Ambio,The economic impact of sea-level rise on nonmarket lands in Singapore.,
0962-1083,dataset-623,,Molecular ecology,"Pleistocene isolation in the Northwestern Pacific marginal seas and limited dispersal in a marine fish, Chelon haematocheilus (Temminck & Schlegel, 1845).",
1353-3452,dataset-623,,Science and engineering ethics,Climate change: do we know enough for policy action?,
0167-6369,dataset-623,,Environmental monitoring and assessment,Assessment of mangrove response to projected relative sea-level rise and recent historical reconstruction of shoreline position.,
0954-6111,dataset-623,,Respiratory medicine,Change in plasma vascular endothelial growth factor during onset and recovery from acute mountain sickness.,
1364-503X,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences","Extreme natural hazards: population growth, globalization and environmental change.",
0099-2240,dataset-623,,Applied and environmental microbiology,"16S rRNA phylogenetic investigation of the candidate division ""Korarchaeota"".",
1462-2912,dataset-623,,Environmental microbiology,Diversity of Synechococcus and Prochlorococcus populations determined from DNA sequences of the N-regulatory gene ntcA.,
1364-503X,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Determining the contribution of Antarctica to sea-level rise using data assimilation methods.,
1364-503X,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Mass balance of the Antarctic ice sheet.,
1095-9203,dataset-623,,"Science (New York, N.Y.)",Simulating Arctic climate warmth and icefield retreat in the last interglaciation.,
1364-503X,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",On the rate and causes of twentieth century sea-level rise.,
1567-133X,dataset-623,,Gene expression patterns : GEP,"Developmental expression of HpNanos, the Hemicentrotus pulcherrimus homologue of nanos.",
0272-4332,dataset-623,,Risk analysis : an official publication of the Society for Risk Analysis,Consortium for Atlantic Regional Assessment: information tools for community adaptation to changes in climate or land use.,
0177-5103,dataset-623,,Diseases of aquatic organisms,Changes in epizoic crustacean infestations during cetacean die-offs: the mass mortality of Mediterranean striped dolphins Stenella coeruleoalba revisited.,
0193-1849,dataset-623,,American journal of physiology. Endocrinology and metabolism,"Endocrine responses to acute and chronic high-altitude exposure (4,300 meters): modulating effects of caloric restriction.",
1476-4687,dataset-623,,Nature,Significant decadal-scale impact of volcanic eruptions on sea level and ocean heat content.,
1364-503X,dataset-623,,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Modelling waves and surges during the 1953 storm.,
0012-1606,dataset-623,,Developmental biology,"Brn1/2/4, the predicted midgut regulator of the endo16 gene of the sea urchin embryo.",
0179-5953,dataset-623,,Reviews of environmental contamination and toxicology,"Physical, chemical, and biological changes in the Gulf of Gdańsk ecosystem (southern Baltic sea).",
1476-4687,dataset-623,,Nature,Similar meltwater contributions to glacial sea level changes from Antarctic and northern ice sheets.,
0140-7775,dataset-623,,Journal of fish diseases,Nodavirus infections in Israeli mariculture.,
1055-7903,dataset-623,,Molecular phylogenetics and evolution,Patterns of lineage diversification in the genus Naso (Acanthuridae).,
1476-4687,dataset-623,,Nature,Mass and volume contributions to twentieth-century global sea level rise.,
0021-9746,dataset-623,,Journal of clinical pathology,Alpha0 thalassaemia as a result of a novel 11.1 kb deletion eliminating both of the duplicated alpha globin genes.,
1095-9203,dataset-623,,"Science (New York, N.Y.)",Modern global climate change.,
0962-1083,dataset-623,,Molecular ecology,Phylogeography of the harlequin beetle-riding pseudoscorpion and the rise of the Isthmus of Panamá.,
8750-7587,dataset-623,,"Journal of applied physiology (Bethesda, Md. : 1985)",Determinants of erythropoietin release in response to short-term hypobaric hypoxia.,
0013-936X,dataset-623,,Environmental science & technology,"Source regions for atmospheric aerosol measured at Barrow, Alaska.",
0036-8075,dataset-623,,"Science (New York, N.Y.)",Sea level rise during past 40 years determined from satellite and in situ observations.,
0036-8075,dataset-623,,"Science (New York, N.Y.)",Climate change. How fast are sea levels rising?,
0028-0836,dataset-623,,Nature,Stability of atmospheric CO2 levels across the Triassic/Jurassic boundary.,
0025-326X,dataset-623,,Marine pollution bulletin,"Coral bleaching and mortality on artificial and natural reefs in Maldives in 1998, sea surface temperature anomalies and initial recovery.",
0091-6765,dataset-623,,Environmental health perspectives,Climate variability and change in the United States: potential impacts on water- and foodborne diseases caused by microbiologic agents.,
0028-0836,dataset-623,,Nature,Recent mass balance of polar ice sheets inferred from patterns of global sea-level change.,
1095-9203,dataset-623,,"Science (New York, N.Y.)",Greenland Ice Sheet: High-Elevation Balance and Peripheral Thinning.,
0378-5955,dataset-623,,Hearing research,Gap junctional communication in the vibration-sensitive response of sea anemones.,
0002-9513,dataset-623,10.1152/ajpregu.1999.277.6.R1612,The American journal of physiology,Role of metallothionein against oxidative stress in the mussel Mytilus galloprovincialis.,https://doi.org/10.1152/ajpregu.1999.277.6.R1612
0020-7713,dataset-623,,International journal of systematic bacteriology,"Methanococcus vulcanius sp. nov., a novel hyperthermophilic methanogen isolated from East Pacific Rise, and identification of Methanococcus sp. DSM 4213T as Methanococcus fervens sp. nov.",
0018-067X,dataset-623,,Heredity,Mitochondrial DNA sequence variation and phylogeographical structure of rock partridge (Alectoris graeca) populations.,
1432-1939,dataset-623,10.1007/s004420050330,Oecologia,"Simulated sea level change alters anatomy, physiology, growth, and reproduction of red mangrove (Rhizophora mangle L.).",https://doi.org/10.1007/s004420050330
1432-1939,dataset-623,10.1007/BF00329032,Oecologia,"{'sub': '2', '#text': 'Elevated CO alters anatomy, physiology, growth, and reproduction of red mangrove (Rhizophora mangle L.).'}",https://doi.org/10.1007/BF00329032
0018-506X,dataset-623,,Hormones and behavior,Parental care and the prolactin secretion pattern in the King penguin: an endogenously timed mechanism?,
0269-7491,dataset-623,,"Environmental pollution (Barking, Essex : 1987)",Estimating the change of carbon in the terrestrial biosphere from 18 000 BP to present using a carbon cycle model.,
0036-8075,dataset-623,,"Science (New York, N.Y.)",Ocean warming and sea level rise along the southwest u.s. Coast.,
8750-7587,dataset-623,,"Journal of applied physiology (Bethesda, Md. : 1985)",Effects of acid-base status on acute hypoxic pulmonary vasoconstriction and gas exchange.,
0036-8075,dataset-623,,"Science (New York, N.Y.)",Rapid formation of ontong java plateau by aptian mantle plume volcanism.,
0034-5687,dataset-623,,Respiration physiology,Operation Everest II: cardiac filling pressures during cycle exercise at sea level.,
0172-4622,dataset-623,,International journal of sports medicine,The energetic significance of lactate accumulation in blood at altitude.,
1520-6300,dataset-623,10.1002/ajhb.1310020606,American journal of human biology : the official journal of the Human Biology Council,"{'sub': '2', '#text': 'Maternal O transport and fetal growth in Colorado, Peru, and Tibet high-altitude residents.'}",https://doi.org/10.1002/ajhb.1310020606
0036-8075,dataset-623,,"Science (New York, N.Y.)",Global sea level rise and the greenhouse effect: might they be connected?,
8750-7587,dataset-623,,"Journal of applied physiology (Bethesda, Md. : 1985)",Breathing pattern in hypoxic exposures of varying duration.,
0036-8075,dataset-623,,"Science (New York, N.Y.)",Contribution of small glaciers to global sea level.,
0036-8075,dataset-623,,"Science (New York, N.Y.)",Global sea level trend in the past century.,
0027-8424,dataset-623,,Proceedings of the National Academy of Sciences of the United States of America,Relative sea levels from tide-gauge records.,
0036-8075,dataset-623,,"Science (New York, N.Y.)",Geomorphic reconstructions in the environs of ancient troy.,
0036-8075,dataset-623,,"Science (New York, N.Y.)",Florida submergence curve revised: its relation to coastal sedimentation rates.,
0036-8075,dataset-623,,"Science (New York, N.Y.)","Geology of the Crust and Mantle, Western United States: Geophysical data reveal a thin crust and anomalous upper mantle characteristic of active regions.",
