rank,publication_id,doi,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank
75,pub.1024538819,10.1016/j.ssresearch.2011.10.001,23017750,,Understanding the geography of food stamp program participation: Do space and place matter?,Social Science Research,,Elsevier,,2012,41,2,263-275,Closed,article,"Slack, Tim; Myers, Candice A.","Slack, Tim (Louisiana State University); Myers, Candice A. (Louisiana State University)",Louisiana State University,grid.64337.35,Baton Rouge,Louisiana,United States,United States Department of Agriculture,USDA,United States,,,13,3,0.21,4.73,,https://app.dimensions.ai/details/publication/pub.1024538819,1402 Applied Economics,1402 Applied Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.132275132
75,pub.1047582528,10.1353/foc.2011.0006,21465863,,Poverty and Program Participation among Immigrant Children,The Future of Children,,Johns Hopkins University Press,Adolescent; Adult; Child; Cross-Cultural Comparison; Emigrants and Immigrants; Humans; Poverty; Public Assistance; Social Welfare; United States; Young Adult,2011,21,1,247-266,Closed,article,"Borjas, George J","Borjas, George J (Harvard University)",Harvard University,grid.38142.3c,Cambridge,Massachusetts,United States,,,,,,38,12,1.34,4.8,,https://app.dimensions.ai/details/publication/pub.1047582528,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Pediatric Research Initiative; Behavioral and Social Science; Basic Behavioral and Social Science,Pediatric,Pediatric Research Initiative,Behavioral and Social Science,Basic Behavioral and Social Science,,,,,,,,"2.3 Psychological, social and economic factors; 1.2 Psychological and socioeconomic processes","2.3 Psychological, social and economic factors",1.2 Psychological and socioeconomic processes,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.132275132
74,pub.1112072046,10.1016/j.jhealeco.2019.02.003,30822747,,Contemporaneous and Long-term Effects of Children’s Public Health Insurance Expansions on Supplemental Security Income Participation,Journal of Health Economics,,Elsevier,,2019,64,Journal of Economic Perspectives 25 3 2011,80-92,Closed,article,"Levere, Michael; Orzol, Sean; Leininger, Lindsey; Early, Nancy","Levere, Michael (Mathematica Policy Research); Orzol, Sean (Mathematica Policy Research); Leininger, Lindsey (); Early, Nancy ()",Mathematica Policy Research,grid.419482.2,Princeton,New Jersey,United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112072046,1402 Applied Economics,1402 Applied Economics,,,,,Behavioral and Social Science; Health Services; Basic Behavioral and Social Science; Clinical Research; Pediatric,Behavioral and Social Science,Health Services,Basic Behavioral and Social Science,Clinical Research,Pediatric,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.130511464
74,pub.1105974417,10.1007/s11113-018-9481-5,,,SNAP Benefits and Pregnancy-Related Emergency Room Visits,Population Research and Policy Review,,Springer Nature,,2018,,,22-Jan,Closed,article,"Arteaga, Irma; Heflin, Colleen; Hodges, Leslie","Arteaga, Irma (University of Missouri); Heflin, Colleen (Syracuse University); Hodges, Leslie (University of Wisconsin–Madison)",Syracuse University; University of Wisconsin–Madison; University of Missouri,grid.264484.8; grid.14003.36; grid.134936.a,Syracuse; Madison; Columbia,New York; Wisconsin; Missouri,United States; United States; United States,United States Department of Agriculture,USDA,United States,,,1,1,0,0,,https://app.dimensions.ai/details/publication/pub.1105974417,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Basic Behavioral and Social Science; Behavioral and Social Science,Basic Behavioral and Social Science,Behavioral and Social Science,,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.130511464
74,pub.1004691346,10.1080/01488376.2016.1235070,,,"Racial Disparities in Welfare Dependence and Financial Independence: Links to Human Capital, Local Economy, and State Temporary Assistance for Needy Families Policies",Journal of Social Service Research,,Taylor & Francis,,2017,43,1,16-Jan,Closed,article,"Cheng, Tyrone; Lo, Celia; Weber, Joe","Cheng, Tyrone (University of Alabama, Tuscaloosa); Lo, Celia (Texas Woman's University); Weber, Joe (University of Alabama, Tuscaloosa)","University of Alabama, Tuscaloosa; Texas Woman's University",grid.411015.0; grid.264797.9,Tuscaloosa; Denton,Alabama; Texas,United States; United States,,,,,,1,1,0,0.97,,https://app.dimensions.ai/details/publication/pub.1004691346,1608 Sociology; 1402 Applied Economics; 1605 Policy and Administration,1608 Sociology,1402 Applied Economics,1605 Policy and Administration,,,Health Services; Clinical Research,Health Services,Clinical Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.130511464
74,pub.1007101059,10.1016/j.ssresearch.2016.03.001,27712691,,Reversing welfare reform? Immigrant restoration efforts and food stamp receipt among Mexican immigrant families,Social Science Research,,Elsevier,Adult; Child; Emigrants and Immigrants; Food Assistance; Food Supply; Humans; Mexico; Poverty; Social Welfare; United States,2016,60,,88-99,Closed,article,"Potochnick, Stephanie","Potochnick, Stephanie (University of Missouri)",University of Missouri,grid.134936.a,Columbia,Missouri,United States,,,,,,1,1,0,0.58,,https://app.dimensions.ai/details/publication/pub.1007101059,1402 Applied Economics; 1605 Policy and Administration,1402 Applied Economics,1605 Policy and Administration,,,,Clinical Research; Basic Behavioral and Social Science; Behavioral and Social Science,Clinical Research,Basic Behavioral and Social Science,Behavioral and Social Science,,,,,,,,,,,,,,,,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.130511464
74,pub.1103608398,10.1080/19320248.2018.1465002,,,"SNAP benefit levels and enrollment rates by race and place: evidence from Georgia, 2007–2013",Journal of Hunger & Environmental Nutrition,,Taylor & Francis,,2018,,,15-Jan,Closed,article,"Shannon, Sarah K.S.; Adams, Grace Bagwell; Shannon, Jerry; Lee, Jung Sun","Shannon, Sarah K.S. (University of Georgia); Adams, Grace Bagwell (University of Georgia); Shannon, Jerry (University of Georgia); Lee, Jung Sun (University of Georgia)",University of Georgia,grid.213876.9,Athens,Georgia,United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1103608398,1608 Sociology,1608 Sociology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.130511464
74,pub.1086040016,10.1002/pop4.175,,,Restoring the Entrails of Welfare Reform,Poverty & Public Policy,,Wiley,,2017,9,2,158-187,Closed,article,"Parolin, Zachary; Wiseman, Michael","Parolin, Zachary (University of Antwerp); Wiseman, Michael ()",University of Antwerp,grid.5284.b,Antwerp,,Belgium,,,,,,1,1,0,0.74,,https://app.dimensions.ai/details/publication/pub.1086040016,1605 Policy and Administration; 1117 Public Health and Health Services,1605 Policy and Administration,1117 Public Health and Health Services,,,,,,,,,,,,,,,,,,,,,,Health services & systems,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.130511464
73,pub.1035249490,10.1146/annurev-publhealth-031811-124658,22224876,PMC3745020,"Health Inequalities: Trends, Progress, and Policy",Annual Review of Public Health,,Annual Reviews,Cross-Cultural Comparison; Ethnic Groups; Health Status Disparities; Humans; Public Health; Public Policy; Social Class; Socioeconomic Factors; United Kingdom; United States,2012,33,1,Jul-40,All OA; Bronze,article,"Bleich, Sara N.; Jarlenski, Marian P.; Bell, Caryn N.; LaVeist, Thomas A.","Bleich, Sara N. (Johns Hopkins University); Jarlenski, Marian P. (); Bell, Caryn N. (Johns Hopkins University); LaVeist, Thomas A. (Johns Hopkins University)",Johns Hopkins University,grid.21107.35,Baltimore,Maryland,United States,National Heart Lung and Blood Institute; National Institute of Child Health and Human Development,NIH,United States; United States,grant.2404720; grant.2621398,R24HD042854; K01HL096409,105,41,5.89,14.62,https://www.annualreviews.org/doi/pdf/10.1146/annurev-publhealth-031811-124658,https://app.dimensions.ai/details/publication/pub.1035249490,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Prevention,Prevention,,,,,Generic Health Relevance,Generic Health Relevance,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.128747795
73,pub.1008461612,10.1002/ajpa.22161,23109261,,Coping and the biosocial consequences of food insecurity in the 21st century,American Journal of Physical Anthropology,,Wiley,"Adaptation, Psychological; Adult; Anthropology, Physical; Child; Chronic Disease; Food Supply; Humans; Mental Health; Nutritional Status",2012,149,S55,72-94,All OA; Bronze,article,"Hadley, Craig; Crooks, Deborah L.","Hadley, Craig (Emory University); Crooks, Deborah L. (University of Kentucky)",Emory University; University of Kentucky,grid.189967.8; grid.266539.d,Atlanta; Lexington,Georgia; Kentucky,United States; United States,,,,,,45,32,2.06,6.26,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ajpa.22161,https://app.dimensions.ai/details/publication/pub.1008461612,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Nutrition,Behavioral and Social Science,Nutrition,,,,Generic Health Relevance,Generic Health Relevance,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.128747795
73,pub.1109782723,10.1016/j.jand.2018.08.167,30415895,,Integrating Healthy Eating into Evidence-Based Home Visiting Models: An Analysis of Programs and Opportunities for Dietetic Practice,Journal of the Academy of Nutrition and Dietetics,,Elsevier,,2018,,BMC Nutr 3 1 2017,,Closed,article,"Welker, Emily B.; Lott, Megan M.; Sundermann, Julie L.; Bussel, Jamie B.; Story, Mary T.","Welker, Emily B. (); Lott, Megan M. (); Sundermann, Julie L. (); Bussel, Jamie B. (); Story, Mary T. ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1109782723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.128747795
73,pub.1037744224,10.1007/s10995-013-1224-y,23329168,,Prevalence and Risk Factors for Postpartum Depressive Symptoms Among Women Enrolled in WIC,Maternal and Child Health Journal,,Springer Nature,"Adult; Depression, Postpartum; Female; Humans; Poverty; Pregnancy; Prevalence; Public Assistance; Risk Assessment; Risk Factors; Surveys and Questionnaires; United States; Young Adult",2013,17,10,1969-1980,Closed,article,"Pooler, Jennifer; Perry, Deborah F.; Ghandour, Reem M.","Pooler, Jennifer (Altarum Institute); Perry, Deborah F. (Georgetown University); Ghandour, Reem M. ()",Georgetown University; Altarum Institute,grid.213910.8; grid.422349.a,Washington D.C.; Ann Arbor,District of Columbia; Michigan,United States; United States,Health Resources and Services Administration,,United States,grant.7426409,R40MC17179,22,14,1.89,3.55,,https://app.dimensions.ai/details/publication/pub.1037744224,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; HIV/AIDS; Violence Research; Pediatric; Clinical Research; Prevention,Behavioral and Social Science,HIV/AIDS,Violence Research,Pediatric,Clinical Research,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.128747795
73,pub.1072755343,10.5304/jafscd.2016.071.003,,,Effectiveness of a SNAP-Ed Nutrition Education Booth at Farmers Markets,Journal of Agriculture Food Systems and Community Development,,Lyson Center for Civic Agriculture and Food Systems,,2016,7,1,19-Nov,All OA; Pure Gold,article,"Savoie-Roskos, Mateja; LeBlanc, Heidi; Coombs, Casey; Palmer, Lea; Jewkes, Melanie; Hunsaker, Teresa","Savoie-Roskos, Mateja (Utah State University); LeBlanc, Heidi (Utah State University); Coombs, Casey (Utah State University); Palmer, Lea (Utah State University); Jewkes, Melanie (Utah State University); Hunsaker, Teresa (Utah State University)",Utah State University,grid.53857.3c,Logan,Utah,United States,,,,,,0,0,0,0,https://foodsystemsjournal.org/index.php/fsj/article/download/475/456,https://app.dimensions.ai/details/publication/pub.1072755343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.128747795
73,pub.1009187362,10.1002/pop4.148,,,Poverty in the United States: A Review of Relevant Programs,Poverty & Public Policy,,Wiley,,2016,8,3,228-247,Closed,article,"Varghese, Shabu Abraham","Varghese, Shabu Abraham ()",,,,,,,,,,,1,1,0,0.69,,https://app.dimensions.ai/details/publication/pub.1009187362,1605 Policy and Administration; 1606 Political Science; 1402 Applied Economics,1605 Policy and Administration,1606 Political Science,1402 Applied Economics,,,,,,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.128747795
73,pub.1110817611,10.7312/kess18034-006,,,Chapter Four. Privatization and Self-Responsibility,,Democracy and the Welfare State,Columbia University Press,,2017,,,107-127,Closed,chapter,"Lammert, Christian","Lammert, Christian ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1110817611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.128747795
72,pub.1028639327,10.1177/1049731515589373,,,Reconceiving SNAP,Research on Social Work Practice,,SAGE Publications,,2016,26,3,316-327,Closed,article,"Besharov, Douglas J.","Besharov, Douglas J. (University of Maryland, College Park)","University of Maryland, College Park",grid.164295.d,College Park,Maryland,United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1028639327,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition,Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.126984127
72,pub.1086843321,10.1787/soc_glance-2016-20-en,,,Recipients of out-of-work benefits,Society at a Glance,Society at a Glance 2016,Organisation for Economic Co-Operation and Development  (OECD),,2016,,,110-111,Closed,chapter,OECD,OECD (),,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1086843321,1402 Applied Economics,1402 Applied Economics,,,,,Behavioral and Social Science; Basic Behavioral and Social Science,Behavioral and Social Science,Basic Behavioral and Social Science,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.126984127
72,pub.1043058077,10.2753/jei0021-3624430414,,,Index Volume XLIV — 2010,Journal of Economic Issues,,Taylor & Francis,,2010,0,4,1119-1126,Closed,article,,,,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1043058077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.126984127
72,pub.1025467668,10.1002/pop4.162,,,Progressive State Taxes and Welfare,Poverty & Public Policy,,Wiley,,2016,8,4,430-437,Closed,article,"Smith, Kara D.; Shone, Bryan","Smith, Kara D. (); Shone, Bryan ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1025467668,1402 Applied Economics,1402 Applied Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.126984127
72,pub.1039910094,10.1177/0002716214531385,,,Family Complexity,The Annals of the American Academy of Political and Social Science,,SAGE Publications,,2014,654,1,259-276,Closed,article,"Meyer, Daniel R.; Carlson, Marcia J.","Meyer, Daniel R. (); Carlson, Marcia J. ()",,,,,,,,,,,8,6,0,0,,https://app.dimensions.ai/details/publication/pub.1039910094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.126984127
71,pub.1011069761,10.1016/j.giq.2013.04.002,,,e-Government legislation: Implementation issues for programs for low-income people,Government Information Quarterly,,Elsevier,,2014,31,1,42-49,Closed,article,"Wilson, Susan Copeland","Wilson, Susan Copeland ()",,,,,,,,,,,4,3,0,1.55,,https://app.dimensions.ai/details/publication/pub.1011069761,1605 Policy and Administration,1605 Policy and Administration,,,,,,,,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.125220459
71,pub.1003367241,10.1177/00197939140670s306,,,Labor Market Analysis and Labor Policymaking in the Nation's Capital,ILR Review,,SAGE Publications,,2014,67,3_suppl,594-607,Closed,article,"Kugler, Adriana","Kugler, Adriana ()",,,,,,,,,,,5,3,0,0,,https://app.dimensions.ai/details/publication/pub.1003367241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.125220459
71,pub.1042825537,10.1111/jora.12272,28498536,,Unauthorized Status and Youth Development in the United States: Consensus Statement of the Society for Research on Adolescence,Journal of Research on Adolescence,,Wiley,,2017,27,1,19-Apr,All OA; Bronze,article,"Yoshikawa, Hirokazu; Suárez‐Orozco, Carola; Gonzales, Roberto G.","Yoshikawa, Hirokazu (New York University); Suárez‐Orozco, Carola (University of California System); Gonzales, Roberto G. (Harvard University)",New York University; University of California System; Harvard University,grid.137628.9; grid.30389.31; grid.38142.3c,New York; Oakland; Cambridge,New York; California; Massachusetts,United States; United States; United States,,,,,,33,33,5.2,25.48,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jora.12272,https://app.dimensions.ai/details/publication/pub.1042825537,1701 Psychology; 1605 Policy and Administration,1701 Psychology,1605 Policy and Administration,,,,Pediatric; Clinical Research,Pediatric,Clinical Research,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.125220459
71,pub.1105943273,10.1002/j.2379-3988.2011.tb00068.x,,,Household Food Insecurity: Serious Concerns for Child Development and commentaries,Social Policy Report,,Wiley,,2011,25,3,27-Jan,Closed,article,"Fiese, Barbara H.; Gundersen, Craig; Koester, Brenda; Washington, LaTesha","Fiese, Barbara H. (University of Illinois at Urbana Champaign); Gundersen, Craig (University of Illinois at Urbana Champaign); Koester, Brenda (University of Illinois at Urbana Champaign); Washington, LaTesha (University of Illinois at Urbana Champaign)",University of Illinois at Urbana Champaign,grid.35403.31,Urbana,Illinois,United States,,,,,,11,3,0,0,,https://app.dimensions.ai/details/publication/pub.1105943273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.125220459
71,pub.1109827537,10.23889/ijpds.v3i5.1078,,,"The Use of Blended Data to Improve Public Assistance Programs: Results from a Partnership between the U.S. Census Bureau, USDA, and State Program Agencies",International Journal for Population Data Science,,Swansea University,,2018,3,5,,"All OA; Green, Submitted",article,"Cerf, Benjamin; Foster, Thomas B; Leach, Mark; Shattuck, Rachel","Cerf, Benjamin (); Foster, Thomas B (); Leach, Mark (); Shattuck, Rachel ()",,,,,,,,,,,0,0,0,0,https://repository.upenn.edu/cgi/viewcontent.cgi?article=1050&context=admindata_conferences_presentations_2018,https://app.dimensions.ai/details/publication/pub.1109827537,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition,Nutrition,,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.125220459
70,pub.1043328335,10.1002/9781118625392.wbecp118,,,Kinship Care,,The Encyclopedia of Clinical Psychology,Wiley,,2015,,,4-Jan,Closed,chapter,"Roehl, Amy; Strozier, Anne","Roehl, Amy (); Strozier, Anne (University of South Florida)",University of South Florida,grid.170693.a,Tampa,Florida,United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1043328335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.12345679
70,pub.1043792643,10.1080/15575330.2014.991410,,,Place-based economic development: examining the relationship between the US Supplemental Nutrition Assistance Program and farmers markets in Mississippi,Community Development,,Taylor & Francis,,2015,46,1,67-77,Closed,article,"Holland, Joseph Hampton; Thompson, Olivia M.","Holland, Joseph Hampton (); Thompson, Olivia M. ()",,,,,,,,,,,2,0,0,0.9,,https://app.dimensions.ai/details/publication/pub.1043792643,1402 Applied Economics,1402 Applied Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.12345679
70,pub.1105056663,10.1177/1532440018775424,30595673,PMC6294149,Less Bang for Your Buck? How Social Capital Constrains the Effectiveness of Social Welfare Spending,State Politics & Policy Quarterly,,SAGE Publications,,2018,18,3,215-245,Closed,article,"Compton, Mallory E.","Compton, Mallory E. (Utrecht University)",Utrecht University,grid.5477.1,Utrecht,Utrecht,Netherlands,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1105056663,1402 Applied Economics; 1605 Policy and Administration; 1608 Sociology,1402 Applied Economics,1605 Policy and Administration,1608 Sociology,,,Mental Health; Basic Behavioral and Social Science; Behavioral and Social Science,Mental Health,Basic Behavioral and Social Science,Behavioral and Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.12345679
69,pub.1112535819,10.3233/jem-2011-0349,,,Asset and reporting policies in the Supplemental Nutrition Assistance Program,Journal of Economic and Social Measurement,,IOS Press,,2011,36,4,289-320,Closed,article,"Danielson, Caroline; Klerman, Jacob Alex; Andrews, Margaret; Krimm, Daniel","Danielson, Caroline (Public Policy Institute of California); Klerman, Jacob Alex (Abt Associates (United States)); Andrews, Margaret (Agricultural Research Service); Krimm, Daniel (Public Policy Institute of California)",Agricultural Research Service; Abt Associates (United States); Public Policy Institute of California,grid.463419.d; grid.417585.a; grid.427229.8,Washington D.C.; Cambridge; San Francisco,District of Columbia; Massachusetts; California,United States; United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112535819,1606 Political Science; 1605 Policy and Administration,1606 Political Science,1605 Policy and Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.121693122
69,pub.1051110450,10.1007/s10488-015-0632-2,25663094,,Mental Health and Substance Abuse Service Engagement by Men and Women During Community Reentry Following Incarceration,Administration and Policy in Mental Health and Mental Health Services Research,,Springer Nature,"Adult; Factor Analysis, Statistical; Female; Humans; Longitudinal Studies; Male; Mental Disorders; Mental Health Services; Prisoners; Prisons; Substance-Related Disorders; Young Adult",2016,43,2,207-218,Closed,article,"Begun, Audrey L.; Early, Theresa J.; Hodge, Ashleigh","Begun, Audrey L. (The Ohio State University); Early, Theresa J. (The Ohio State University); Hodge, Ashleigh (The Ohio State University)",The Ohio State University,grid.261331.4,Columbus,Ohio,United States,,,,,,14,12,1.74,4.71,,https://app.dimensions.ai/details/publication/pub.1051110450,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Health Services; Clinical Research; Drug Abuse (NIDA Only); Behavioral and Social Science; Substance Abuse,Health Services,Clinical Research,Drug Abuse (NIDA Only),Behavioral and Social Science,Substance Abuse,Mental Health,Mental Health,,,,,7.3 Management and decision making; 8.1 Organisation and delivery of services,7.3 Management and decision making,8.1 Organisation and delivery of services,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.121693122
68,pub.1090948720,10.1016/j.ecresq.2017.07.002,28919666,PMC5599152,The selection of preschool for immigrant and native-born Latino families in the United States,Early Childhood Research Quarterly,,Elsevier,,2017,41,,149-160,"All OA; Green, Accepted",article,"Ansari, Arya","Ansari, Arya (University of Virginia)",University of Virginia,grid.27755.32,Charlottesville,Virginia,United States,National Institute of Child Health and Human Development,NIH,United States,grant.2621397; grant.2684208; grant.2528393,R24HD042849; T32HD007081; R01HD069564,4,4,0,2.43,http://europepmc.org/articles/pmc5599152?pdf=render,https://app.dimensions.ai/details/publication/pub.1090948720,1701 Psychology; 1117 Public Health and Health Services,1701 Psychology,1117 Public Health and Health Services,,,,Clinical Research; Pediatric; Prevention,Clinical Research,Pediatric,Prevention,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.119929453
