title,dataset,abstract,authors,doi,journal,keywords,adrf_id
Profile of the graduate student population in U.S. medical schools.,dataset-370,"The Association of American Medical Colleges (AAMC) sponsored surveys of accredited U.S. medical schools in 1994-95 and in 1995-96 to gather enough data to determine an accurate profile of the population of students enrolled in and/or graduated from biomedical PhD and MD-PhD programs at these institutions. Previously collected data on the graduate student population at medical schools often did not distinguish between PhD students at the medical school and graduate students in other parts of the university. The AAMC surveys defined a medical school PhD- or MD-PhD-trained student as one whose major professor holds his or her primary appointment in a department of the medical school. The data were the result of census-taking by the responding schools on October 1, 1994, and October 1, 1995. There were 81 responses to each of the two surveys. Overall, 104 medical schools supplied data in either one or both of the survey years. When the data are extrapolated from the sample to the total population of 122 medical schools that award graduate degrees, a number of interesting estimates emerge. (1) When compared with the 1995 data for 18 biomedically-related biological science disciplines from the National Research Council's Survey of Earned Doctorates, the AAMC survey indicates that approximately 60% of the 4,000 PhDs awarded were earned by students studying at U.S. medical schools. (2) The total enrollment of PhD students in U.S. medical schools is approximately 18,600, a number that is about 25-30% of the number of medical students currently enrolled at all accredited U.S. medical schools. In some institutions, the number of graduate students rivals the number of medical students. (3) PhD students are enrolled in a wide variety of programs bearing titles reflective of a trend toward \""interdisciplinary\"" rather than \""departmental\"" degrees. (4) At a given time, the number of students supported by National Institutes of Health (NIH) research grants is nearly twice that provided for by NIH traineeships. In addition, all forms of institutional support provide for more than one-third of the PhD students in U.S. medical schools. (5) Approximately 24% of enrolled students are international students on temporary or permanent visas. (6) The data obtained from the two surveys of graduate programs within medical schools are relatively consistent, enabling more confidence in the reliability and accuracy of findings presented in this report.","S W Ammons,Diane Kelly",10.1097/00001888-199709000-00020,Academic Medicine,,adrf-000142
Public Anthropology in Changing Times,dataset-428,"Public anthropology is a collective aspiration shaped by generally shared values and intentions within significant sections of social and cultural anthropology. The impetus behind the creation of the journal Public Anthropologist originates in this realm of ongoing discussions and actions inspired by the idea of pushing engagement and participation beyond academic borders. Given that the traditional triadic structure’s assessment standards and their financial and political backers are being reshaped by broader social forces beyond the academy and that the audit culture of accountability, that is replacing earlier standards, has significant problems, we need ask: Where do we go from here? In these changing times, how can anthropologists be more relevant to the broader society in the hope of escaping the worse aspects of the audit culture? We need raise our public profile, we need make clear to the larger society anthropology’s value in addressing the problems that concern them.","Robert Borofsky, Antonio de Lauri",10.1163/25891715-00201002,Public Anthropologist,"public anthropology, Public Anthropologist, publications, engagement, audit culture",adrf-000136
Radiology Research Funding Current State and Future Opportunities,dataset-428,"Funding for research has become increasingly difficult to obtain in an environment of decreasing clinical revenue, increasing research costs, and growing competition for federal and nonfederal funding sources. This paper identifies critical requirements to build and sustain a successful radiology research program (eg, key personnel and leadership, research training and mentorship, infrastructure, institutional and departmental funding or support), reviews the current state of available funding for radiology (including federal, nonfederal, philanthropy, crowdfunding, and industry), and describes promising opportunities for future funding (eg, health services, comparative effectiveness, and patient-centered outcomes research). The funding climate, especially at the federal level, changes periodically, so it is important to have radiology-specific organizations such as the American College of Radiology and the Academy of Radiology Research serving as our key advocates. Key to obtaining any funding, no matter what the source, is a well-formulated grant proposal, so a review of opportunities specifically available to radiologists to develop and hone their grant-writing skills is provided. Effective and sustained funding for radiology research has the potential to cultivate young researchers, bolster quality research, and enhance health care. Those interested in pursuing research need to be aware of the ever-changing funding landscape, research priority areas, and the resources available to them to succeed. To succeed, radiology researchers need to think about diversification and flexibility in their interests, developing multidisciplinary and multi-institutional projects, and engaging a broader base of stakeholders that includes patients.","Alison L Chetlen, Andrew J. Degnan, Mark Guelfguat, Brent Griffith, Jason N. Itri, H Matta, Angela Pui-Ling Tong, Jonathan A. Flug, Dennis Toy, Nikita Consul, Eric A. Walker, Lucy B Spalluto, Andrew D. Smith, Elizabeth A. Krupinski",10.1016/j.acra.2017.07.013,Academic Radiology,"Advocate (person), Numerous, Review [Publication Type], Health Care, Health Services, Request for Proposals, Patients,  Outcomes Research, Radiology research,funding,federal funding,non-federal funding,grant writing",adrf-000136
"Rationale for Cocreating a Community for Underrepresented Minorities in Science, Technology, Engineering, and Math: An Indigenous Paradigm",dataset-370,"This chapter provides a rationale for supporting American Indians and Alaska Natives in the Science, Technology, Engineering, and Math (STEM) fields particularly at the graduate level through Pacific Northwest Circle of Success: Mentoring Opportunities in STEM (PNW‐COSMOS) Alliance activities and offers direction for the development of programming for other groups underrepresented in STEM.",Sweeney Windchief,10.1002/he.20332,New Directions for Higher Education,,adrf-000142
Rationality is Gendered,dataset-370,"Shared rationality is the common ground of scientific progress. However, some theorists have argued that this common ground may not be level, in that subtle assumptions embedded within lay views of rationality marginalize some would-be participants. Specifically, feminist philosophers have argued that rationality is associated with male rather than female discourse. This claim has frequently been dismissed as incoherent, but a straightforward interpretation is readily available: The concept reason is semantically associated with the concept male. We support this hypothesis in four studies (total N > 900), finding that at both the explicit and implicit level, reason is preferentially associated with male, feeling is preferentially associated with female, male faces prime unrelated judgments of reason/rationality, and gendered associations are related to interest in academic disciplines as well as estimates of the (mis)representation of women within those disciplines. Implications for gender stereotyping and the representation of women in different fields are discussed.","Olivia Pavco-Giaccia, Martha Fitch Little, Jason Stanley, Yarrow Dunham",10.1525/collabra.274,Collabra: Psychology,"gender roles, gender stereotyping, implicit cognition",adrf-000142
Research into higher education: an a?theoretical community of practice?,dataset-428,"A database of 406 articles published in 2000 in 17 specialist higher education journals, based outside North America, is analysed in terms of whether a theoretical perspective is adopted. In the majority of cases, any theoretical perspective is only implicit, and broader engagement with theory is absent. Where theory is explicit, the authors appear more likely to be based in a social science department or academic development unit, rather than an education department or higher education research centre. The implications of this analysis for the development of higher education research as an interdisciplinary field of study are explored.",Malcolm Peter Tight,10.1080/0729436042000276431,Higher Education Research & Development,,adrf-000136
Research: Sci-Hub provides access to nearly all scholarly literature,dataset-428,"The website Sci-Hub enables users to download PDF versions of scholarly articles, including many articles that are paywalled at their journal’s site. Sci-Hub has grown rapidly since its creation in 2011, but the extent of its coverage has been unclear. Here we report that, as of March 2017, Sci-Hub’s database contains 68.9% of the 81.6 million scholarly articles registered with Crossref and 85.1% of articles published in toll access journals. We find that coverage varies by discipline and publisher, and that Sci-Hub preferentially covers popular, paywalled content. For toll access articles, we find that Sci-Hub provides greater coverage than the University of Pennsylvania, a major research university in the United States. Green open access to toll access articles via licit services, on the other hand, remains quite limited. Our interactive browser at https://greenelab.github.io/scihub allows users to explore these findings in more detail. For the first time, nearly all scholarly literature is available gratis to anyone with an Internet connection, suggesting the toll access business model may become unsustainable.","Daniel S. Himmelstein, Ariel Rodriguez-Romero, Jacob G. Levernier, Thomas Anthony Munro, Stephen Reid McLaughlin, Bastian Greshake Tzovaras, Casey S. Greene",10.7554/elife.32822,eLife,,adrf-000136
Science Funding and Short-Term Economic Activity,dataset-428,"There is considerable interest among policy-makers in documenting short-term effects of science funding. A multiyear scientific journey that leads to long-term fruits of research, such as a moon landing, is more tangible if there is visible nearer-term activity, such as the presence of astronauts. Yet systematic data on such activities have not heretofore existed. The only source of information for describing the production of most science is surveys that have been called \u201ca rough estimate, frequently based on unexamined assumptions that originated years earlier\u201d (1).","Bruce A. Weinberg, Jason Owen-Smith, Rebecca F. Rosen, Lou Schwarz, Barbara McFadden Allen, Roy Weiss, Julia Lane",10.1126/science.1250055,Science,,adrf-000136
Shifting Gears: Characteristics and Consequences of Latent Class Transitions in Doctoral Socialization,dataset-371,"Using a national sample of 336 biology Ph.D. students, this study classified students based on their interactions with faculty and peers, and investigated longitudinal changes in their interaction classifications over 3 years. We also examined associations between students interaction classifications, their demographic backgrounds (e.g., gender, international student status, first-generation status, and underrepresented racial/ethnic minority status), and doctoral outcomes (e.g., sense of belonging, satisfaction with academic development, institutional commitment, and scholarly productivity). The findings revealed that three distinct subgroups existed among the current sample of biology Ph.D. students, with respect to their interactions with their faculty and peers: high interaction with faculty and peers, high interaction with peers only, and low interaction with faculty and peers. However, such patterns of doctoral students interactions with faculty and peers tended to, in general, be stable over time. In addition, while the differential effects of demographic variables on changes in these interaction patterns were widely founded, such changes were not substantially linked to doctoral student outcomes. Implications for research on doctoral education and socialization theory are discussed.","Soojeong Jeong, Kaylee Litson, Jennifer Blaney, David F. Feldon",10.1007/s11162-019-09583-7,Research in Higher Education,"Doctoral socialization, Faculty-student interaction, Peer interaction, Person-centered approach, Latent transition analysis ",adrf-000144
Simulation of the leaky pipeline: Gender diversity in U.S. K-graduate education,dataset-370,"What is the future trend of gender (dis)parity in the U.S. higher education and workforce populations? I take a systems approach to develop a dynamic simulation model of gender diversity in U.S. higher education. The model consists of an education pipeline for males and females and includes several mechanisms that reinforce interest in higher education or affect university admission or dropout rates. I simulated a model and examined its fidelity in replicating the historical data of U.S. higher education from 1970 to 2014. I then simulated the model to forecast future gender composition trends at different levels of education over the next two decades. The model forecasts that women will be the majority of university degree holders in the United States by 2035 (i.e., female to male ratio of 1.7 for advanced degrees) with lower dropout rates. Additionally, a discussion is provided on the study’s findings and subsequent implications.",Maryam A. Andalib,10.1080/17477778.2019.1620650,Journal of Simulation,,adrf-000142
Size and characteristics of the biomedical research workforce associated with U.S. National Institutes of Health extramural grants,dataset-370,"The U.S. National Institutes of Health (NIH) annually invests approximately $22 billion in biomedical research through its extramural grant programs. Since fiscal year (FY) 2010, all persons involved in research during the previous project year have been required to be listed on the annual grant progress report. These new data have enabled the production of the first-ever census of the NIH-funded extramural research workforce. Data were extracted from All Personnel Reports submitted for NIH grants funded in FY 2009, including position title, months of effort, academic degrees obtained, and personal identifiers. Data were de-duplicated to determine a unique person count. Person-years of effort (PYE) on NIH grants were computed. In FY 2009, NIH funded 50,885 grant projects, which created 313,049 full- and part-time positions spanning all job functions involved in biomedical research. These positions were staffed by 247,457 people at 2,604 institutions. These persons devoted 121,465 PYE to NIH grant-supported research. Research project grants each supported 6 full- or part-time positions, on average. Over 20% of positions were occupied by postdoctoral researchers and graduate and undergraduate students. These baseline data were used to project workforce estimates for FYs 2010-2014 and will serve as a foundation for future research.","Lindsay R. Pool,Robin M. Wagner,Lindsey L Scott,Deepshikha Roychowdhury,Rediet Berhane,Charles Chong-han Wu,Katrina Pearson,Jennifer Ann Sutton,Walter T Schaffer",10.1096/fj.14-264358,The FASEB Journal,,adrf-000142
Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,"dataset-371, dataset-370","Since the 1950s, the number of doctorate recipients has risen dramatically in the United States. In this paper, we investigate whether the longevity of doctorate recipients publication careers has changed. This is achieved by matching 1951C2010 doctorate recipients with rare names in astrophysics, chemistry, economics, genetics and psychology in the dissertation database ProQuest to their publications in the publication database Web of Science. Our study shows that pre-PhD publication careers have changed: the median year of first publication has shifted from after the PhD to several years before PhD in most of the studied fields. In contrast, post-PhD publication career spans have not changed much in most fields. The share of doctorate recipients who have published for more than twenty years has remained stable over time; the shares of doctorate recipients publishing for shorter periods also remained almost unchanged. Thus, though there have been changes in pre-PhD publication careers, post-PhD career spans remained quite stable.","Cathelijn J. F.Waaijer, Benoit Macaluso, Cassidy R. Sugimoto, Vincent Larivire",10.1371/journal.pone.0154741,PLoS One,,"adrf-000142, adrf-000144"
"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007","dataset-371, dataset-370","Study of the stay rate in the United States of foreign nationals receiving their S/E doctorates from U.S. universities. This study has estimated stay rates in 2007 for persons receiving a doctorate one, two, five, and ten years previously. The two-year stay rate (for 2005 graduates) recovered from the decline experienced earlier in the decade. The five-year stay rate (for 2002 graduates) is lower; the ten-year stay rate (for 1997 graduates) reached a new high."",",Michael G. Finn,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information,,"adrf-000142, adrf-000144"
Survey of checkpoints along the pathway to diverse biomedical research faculty,dataset-370,"There is a persistent shortage of underrepresented minority (URM) faculty who are involved in basic biomedical research at medical schools. We examined the entire training pathway of potential candidates to identify the points of greatest loss. Using a range of recent national data sources, including the National Science Foundation's Survey of Earned Doctorates and Survey of Doctoral Recipients, we analyzed the demographics of the population of interest, specifically those from URM backgrounds with an interest in biomedical sciences. We examined the URM population from high school graduates through undergraduate, graduate, and postdoctoral training as well as the URM population in basic science tenure track faculty positions at medical schools. We find that URM and non-URM trainees are equally likely to transition into doctoral programs, to receive their doctoral degree, and to secure a postdoctoral position. However, the analysis reveals that the diversions from developing a faculty career are found primarily at two clearly identifiable places, specifically during undergraduate education and in transition from postdoctoral fellowship to tenure track faculty in the basic sciences at medical schools. We suggest focusing additional interventions on these two stages along the educational pathway.","Lindsay C Meyers,Abigail M Brown,Liane Moneta-Koehler,Roger Chalkley",10.1371/journal.pone.0190606,PLOS ONE,,adrf-000142
"Team Size, Noisy Signals, and the Career Prospects of Academic Scientists",dataset-428,"Team production is increasingly common in bench science, because scientists specialize and then combine their skills in a team. We argue that team production makes it more difficult to identify the quality of a junior scientist, as her productivity cannot be perfectly distinguished from others in the team. We develop a model of promotions within academic science: funding organizations observe the output of academic teams, and decide how much funding to award to each scientist. An exogenous change in the size of teams implies noisier signals. In response, funding organizations rationally tilt more of the funding toward senior scientists. Junior scientists have reduced prospects of ever obtaining enough funding to run their own laboratory. Using data from academic science, we show that when the size of scientific teams increased, there is evidence of fewer promotions, more funding to senior scientists, and more mid-career exit. We apply the insights gained to thinking about teamwork and promotions in organizations.","Catherine de Fontenay, Kwanghui Lim, Nicholas Snashall-Woodhams, Suren Basov",10.2139/ssrn.3098510,SSRN Electronic Journal,"team size, promotions, scientists, careers, economic model",adrf-000136
"Tenure and Promotion Outcomes at Four Large Land Grant Universities: Examining the Role of Gender, Race, and Academic Discipline",dataset-370,"Inclusion and diversity are highly visible priorities at many colleges and universities. Efforts to diversify the professoriate have necessitated a better understanding of career outcomes for current female faculty and faculty of color. We measure risk of leaving without tenure and years to promotion from associate to full professor at four large land grant universities. We model career outcomes as competing risks, and compute cumulative incidence functions to discern differences in tenure and promotion outcomes by gender and race. We find incidence rates vary significantly by academic discipline, and in many instances, show larger effects than gender and racial or ethnic differences. Our examination also indicates that in particular academic fields, females are more prone to leave without tenure, and less likely to be promoted to full professor. We also find that racial or ethnic minorities are less likely to be promoted to full professor in certain areas. The analysis suggests that for universities to address systemic issues of underrepresentation in academe, they must account for department level contexts, and align institutional practices to support the goal of inclusion and diversity.","Raifu Durodoye,Marcia L. Gumpertz,Alyson Wilson,Emily Griffith,Seher Ahmad",10.1007/s11162-019-09573-9,Research in Higher Education,,adrf-000142
The bachelor's to Ph.D. STEM pipeline no longer leaks more women than men: a 30-year analysis,dataset-371,"For decades, research and public discourse about gender and science have often assumed that women are more likely than men to ""leak"" from the science pipeline at multiple points after entering college. We used retrospective longitudinal methods to investigate how accurately this ""leaky pipeline"" metaphor has described the bachelor's to Ph.D. transition in science, technology, engineering, and mathematics (STEM) fields in the U.S. since the 1970s. Among STEM bachelor's degree earners in the 1970s and 1980s, women were less likely than men to later earn a STEM Ph.D. However, this gender difference closed in the 1990s. Qualitatively similar trends were found across STEM disciplines. The leaky pipeline metaphor therefore partially explains historical gender differences in the U.S., but no longer describes current gender differences in the bachelor's to Ph.D. transition in STEM. The results help constrain theories about women's underrepresentation in STEM. Overall, these results point to the need to understand gender differences at the bachelor's level and below to understand women's representation in STEM at the Ph.D. level and above. Consistent with trends at the bachelor's level, women's representation at the Ph.D. level has been recently declining for the first time in over 40 years.","David I. Miller, Jonathan M. Wai",10.3389/fpsyg.2015.00037,Frontiers in Psychology,"Sex Characteristics, Computer science, Physical Sciences",adrf-000144
The changing career trajectories of new parents in STEM,dataset-370,"The gender imbalance in science, technology, engineering, and math (STEM) fields has remained constant for decades and increases the farther up the STEM career pipeline one looks. Why does the underrepresentation of women endure? This study investigated the role of parenthood as a mechanism of gender-differentiated attrition from STEM employment. Using a nationally representative 8-year longitudinal sample of US STEM professionals, we examined the career trajectories of new parents after the birth or adoption of their first child. We found substantial attrition of new mothers: 43% of women leave full-time STEM employment after their first child. New mothers are more likely than new fathers to leave STEM, to switch to part-time work, and to exit the labor force. These gender differences hold irrespective of variation by discipline, race, and other demographic factors. However, parenthood is not just a \""mother's problem\""; 23% of new fathers also leave STEM after their first child. Suggesting the difficulty of combining STEM work with caregiving responsibilities generally, new parents are more likely to leave full-time STEM jobs than otherwise similar childless peers and even new parents who remain employed full time are more likely than their childless peers to exit STEM for work elsewhere. These results have implications for policymakers and STEM workforce scholars; whereas parenthood is an important mechanism of women's attrition, both women and men leave at surprisingly high rates after having children. Given that most people become parents during their working lives, STEM fields must do more to retain professionals with children.","Erin A. Cech,Mary Blair-Loy",10.1073/pnas.1810862116,Proceedings of the National Academy of Sciences,,adrf-000142
The Higher Education Community: Educating AmericaaTMs Next Great Generation,dataset-428,"One of the significant benefits the higher education community provides to the nation and our military families is educating the Next Great Generation of engaged citizens and leaders\u2014service members, veterans, and their family members. This educational mission has become more prominent in recent years with the passage of the current iteration of the GI Bill. More than 1.5 million military-affiliated individuals used some form of educational benefit to enroll in postsecondary education annually in 2014. Three key issues surfaced during the initial phases of Operation Iraqi Freedom (OIF) and Operation Enduring Freedom (OEF): institutional policies allowing service members and family members access to, withdrawal from, and readmission into the educational environment without educational or financial repercussions; financial support mechanisms and strategies to fill initial education benefit funding gaps; and transition programs and supports for military service as well as civilian support communities for veterans whose terms of enlistment were satisfied. Over the past decade, education associations and veteran service organizations have developed an evidence-based body of knowledge and practice centered on educational issues related to military-connected student populations. As educators develop a comprehensive strategy for addressing educational challenge in future military conflicts, they would do well to focus on the lessons learned during Operation Iraqi Freedom and Operation Enduring Freedom.","Kathryn McMurtry Snead, Lesley McBain",10.1007/978-3-319-68984-5_9,A Battle Plan for Supporting Military Families,,adrf-000136
The hunt for the lesser-known funding source,dataset-428,"Scientists can use search skills and solid connections to find grants from foreign governments, foundations and crowdfunding.Scientists can use search skills and solid connections to find grants from foreign governments, foundations and crowdfunding.",Elie Dolgin,10.1038/d41586-019-01734-1,Nature,"Government, funding grant, Foundations",adrf-000136
The impact of money on science: Evidence from unexpected NCAA football outcomes,dataset-428,"How productive are university research investments, and do the resulting pools of knowledge create valuable, downstream technology — or simply accumulate in the ""ivory tower""? This paper uses unexpected NCAA athletic outcomes to vary research support to university faculty and estimate knowledge productivity. We find positive, significant effects of research expenditures on articles published and patents filed. Then, using data on university technology licensing income, we show that these investments produce large returns in real terms.","Haris Tabakovic,Thomas Wollmann",10.1016/j.jpubeco.2019.104066,Journal of Public Economics,"Productivity, Knowledge production, Research and development, Patents, Licensing",adrf-000136
The impact of money on science: Evidence from unexpected NCAA footballA outcomes,dataset-428,"Universities perform a rising share of R&D in developed countries and increasingly rely on internal rather than government or private sector sources to fund these activities. This paper uses unexpected college football outcomes to exogenously vary school-funded research support expenditures. It then examines how these expenditures affect scientific productivity at US universities and whether the pool of knowledge created by academic research generates valuable innovation at the margin. We find large effects on publishing and patenting that sharply exceed estimates from prior work. Using data on technology licensing revenues, we find 4-5% upfront returns and 9% total returns on investment. JEL: O31, O32, D24, I23. \u2217We are grateful for early input from Juan Alcacer, Thomas Covert, James Lee, Josh Lerner, Charlie Nathanson, Ariel Pakes, Kyle Welch, and Erick Zwick as well as comments by Alberto Galasso, Meg Blume-Kohout, Ben Jones, Megan MacGarvie, Scott Stern, Chad Syverson, and participants at the NBER Summer Institute on Innovation, Cirano Conference on Industrial Organization, Chicago Booth Microeconomics Workshop, and Chicago Harris Public Policy and Economics Workshop. For helpful discussions on the research, funding, and publishing process in science and engineering fields, we thank Sharon Allen, Patrick Fitzgerald, Susan Gomes, Mick Sawka, and Beth Thomson at Harvard University, Park Hays at Sandia National Laboratories, Marty Holmes at the Texas A&M Association of Former Students, Roxanne Moore at Georgia Tech, Carolyn Porter at the McDonald Observatory at the University of Texas at Austin, Frank Rotondo at the Institute for Defense Analyses, and Mario Trujillo at the University of Wisconsin-Madison. \u2020Address: Harvard Business School, Soldiers Field Road, Boston, MA 02163, htabakovic@hbs.edu \u2021Corresponding author address: The University of Chicago Booth School of Business, 5807 South Woodlawn Avenue, Chicago IL 60637, thomas.wollmann@chicagobooth.edu","Haris Tabakovic, Thomas Wollmann",10.1016/j.jpubeco.2019.104066,Journal of Public Economics,"Money, Estimated, Ordinary least squares, Interaction, Plausibility structure, Relevance, Universities",adrf-000136
The impact of the H-1B cap exemption on Ph.D. labor markets,dataset-370,"The American Competitiveness in the Twenty-First Century Act of 2000 (AC21) eliminated the H-1B cap for foreign employees of academic, nonprofit and government research organizations. This act potentially affects the job preferences of newly graduated foreign Ph.D. students. Choosing a career in an uncapped H-1B-qualified entity means circumventing the risk of facing the fiercely competitive H-1B application process and possibly avoiding potential losses due to a visa rejection. We use data from the census of Ph.D. graduates to examine the causal effect of this policy change on academic and industry labor markets in the USA. We find that as a result of this policy, Ph.D. graduates with temporary visas are 5 percentage points more likely to pursue a job in academia, and 3\u20134 percentage points less likely to choose a job in industry. A series of robustness checks exclude other external factors around the same time period driving the results.","Yinjunjie Zhang,Marco A. Palma",10.1007/s00181-019-01721-5,,,adrf-000142
The Pathology Workforce and Clinical Licensure: The Role of the PhD Clinical Laboratorian in the United States,dataset-371,"There has been a recent recognition of the need to prepare PhD-trained scientists for increasingly diverse careers in academia, industry, and health care. The PhD Data Task Force was formed to better understand the current state of PhD scientists in the clinical laboratory workforce and collect up-to-date information on the training and certification of these laboratorians. In this report, we summarize the findings of the PhD Data Task Force and discuss the relevance of the data collected to the future supply of and demand for PhD clinical laboratory scientists. It is clear that there are multiple career opportunities for PhD scientists in academic medical centers, commercial clinical laboratories, biotechnology and pharmaceutical companies, and the federal government. Certified PhD scientists have and will continue to form an important resource for our technologically advancing field, bringing training in scientific methods, and technologies needed for modern laboratory medicine. The data gathered by the PhD Data Task Force will be of great interest to current and future PhD candidates and graduate PhD scientists as they make decisions regarding future career directions."",","Robin G. Lorenz, Donald S. Karcher, Michael D. Gautreaux, Melvin Limson, Dani S. Zander",10.1177/2374289518775948,Academic Pathology,"Relevance, Laboratory, Academia (organization), Academic Medical Centers, Certification, Health Care",adrf-000144
The relation between research priorities and societal demands: The case of rice,dataset-428,"To what extent is scientific research related to societal needs? To answer this crucial question systematically we need to contrast indicators of research priorities with indicators of societal needs. We focus on rice research and technology between 1983 and 2012. We combine quantitative methods that allow investigation of the relation between 'revealed' research priorities and 'revealed' societal demands, measured respectively by research output (publications) and national accounts of rice use and farmers' and consumers' rice-related needs. We employ new bibliometric data, methods and indicators to identify countries' main rice research topics (priorities) from publications. For a panel of countries, we estimate the relation between revealed research priorities and revealed demands. We find that, across countries and time, societal demands explain a country's research trajectory to a limited extent. Some research priorities are nicely aligned to societal demands, confirming that science is partly related to societal needs. However, we find a relevant number of misalignments between the focus of rice research and revealed demands, crucially related to human consumption and nutrition. We discuss some implications for research policy.","Tommaso Ciarli, Ismael Rafols",10.1016/j.respol.2018.10.027,Research Policy,"Research priority, Agenda setting, Research trajectories, Societal needs, Scientometrics, Rice",adrf-000136
"The Scientific Research Output of U.S. Research Universities, 1980-2010: Continuing Dispersion, Increasing Concentration, or Stable Inequality?",dataset-428,"Extending and expanding Geiger and Feller's (1995) analysis of increasing dispersion in R&D expenditures during the 1980s, the paper analyzes publication and citation counts as well as R&D expenditures for 194 top producers using Web of Science data. We find high and stable levels of inequality in the 1990s and 2000s, combined with robust growth both in the system and on individual campuses, considerable opportunities for short-range mobility and very limited opportunities for long-range mobility. Initial investments in research, private control, and the capacity of wealthy institutions to attract productive faculty are associated with high levels of scientific output. New entrants to the system and those that leave the system are both clustered near the bottom of the hierarchy.","Steven Brint,Cynthia E. Carr",10.1007/s11024-017-9330-4,Minerva,"Higher education, Research productivity, Institutional stratification, Institutional mobility ",adrf-000136
The Socialization of STEM Professionals Into STEM Careers: A Study of Newly Hired Engineers,dataset-370,"The Problem Recently there has been a growing interest to increase the number of people entering science, technology, engineering, and mathematics (STEM) careers. One of the major problems with this...","Russell Korte,Samantha Brunhaver,Sarah M. Zehr",10.1177/1523422318814550,Advances in Developing Human Resources,,adrf-000142
The Trade-Offs of Teamwork Among STEM Doctoral Graduates,dataset-370,"Teamwork has increasingly become prevalent in professional fields such as academic science, perhaps partly because research shows that teams tend to produce superior work. Although research on teamwork has typically focused on its impact on work products, we complement that work by examining the degree to which teamwork influences salary, hours worked, and overall job satisfaction. Drawing on microdata collected through the National Science Foundation's Survey of Doctorate Recipients as well as the Survey of Earned Doctorates, we find that doctoral degree holders in science, technology, engineering, and mathematics (STEM) fields tend to earn substantially higher salaries and work more hours when they engage in teamwork. We also find no comparable difference in overall job satisfaction as a function of whether individuals work within teams. Additionally, we find evidence that age interacts significantly with teamwork, whereby older teamworkers tend to earn relatively more when participating in teams without appearing to work more hours; and we show that employment sector is important, whereby teamwork is relevant for salaries and hours worked in education and industry but not in government. Although our study is based on market outcomes and behavioral measures, our findings provide grounds for future research that examines the psychological mechanisms that are relevant to understanding why people join teams as well as the psychological consequences that people encounter through teamwork. More generally, this study provides a model for considering individual-level antecedents and outcomes associated with teamwork when degrees of discretion exist with respect to teaming. (PsycINFO Database Record","Kevin M. Kniffin,Andrew S. Hanks",10.1037/amp0000288,American Psychologist,,adrf-000142
Training opportunities for noncommunicable diseases research in Latin America: A scoping review,dataset-428,"Objective\nTo identify gaps in postgraduate training and options for building capacity in noncommunicable disease (NCDs) research in Latin America.\n\n\nMethods\nThis was a scoping review of postgraduate opportunities in NCDs at top universities in Latin America and of training grants awarded by international funding bodies. Three global university rankings were considered-the QS Ranking, the Shanghai Ranking, and the Times Ranking. Latin American universities appearing in at least two of these were selected. University websites were searched for current graduate programs in biostatistics, epidemiology, global health, health economics, and public health. Information was extracted, summarized, and evaluated to identify any programs focused on NCDs. In addition, seven international funding bodies' websites were searched for training grants.\n\n\nResults\nIn all, 33 universities offering 72 postgraduate programs met the inclusion criteria. One of these programs was exclusively devoted to NCD, and 12 offered NCDs as a dissertation research topic. Only two training grants were awarded to a Latin American institution for NCD capacity building. There are few NCD research training programs in Latin America and only one program exclusively focused on NCDs.\n\n\nConclusion\nThere seem to be few NCD-specific research training programs in Latin America. Leveraging existing programs and expanding those with a focus on NCDs could help enhance NCD research capacity in the region. These initiatives should be supported by international funding agencies through more funding opportunities.","Jessica Hanae Zafra-Tanaka, Rodrigo M Carrillo-Larco, Antonio Bernabe-Ortiz, Vilma Edit Irazola, Goodarz Danaei, J Jaime Miranda,",10.26633/rpsp.2019.68,BULL PAN AM HEALTH ORGAN,"Dermox, Universities, Awards, funding grant, Training Programs, Immune System Diseases, Extraction, Global Health, Search - action, Epidemiology",adrf-000136
Training the scientific workforce: Does funding mechanism matter?,dataset-370,"A National Institutes of Health (NIH) taskforce recently recommended decreasing the number of graduate students supported on research assistantships, and instead favoring traineeship and fellowship funding mechanisms. Using instrumental variables estimation with survey data collected from U.S. PhD-granting biomedical sciences departments and their newly-minted PhDs, we find that increases in these programs’ NIH-funded traineeships and fellowships do significantly increase programs’ total graduate enrollments, particularly of female students. However, PhDs who were funded primarily as research assistants are significantly more likely to take research-focused jobs in the U.S. scientific workforce after they graduate, as compared to PhDs who were primarily supported as trainees or fellows. The suggested policy changes thus may have unintended, negative consequences for scientific workforce participation.","Blume-Kohout Margaret E.,Adhikari Dadhi",10.1016/j.respol.2016.03.011,,,adrf-000142
United States of America,dataset-428,"As we stand poised to enter the next millennium there is perhaps no better opportunity to reflect on the beliefs, values and techniques that are shared and debated by qualitative researchers throughout the United States. This paper explores some of the challenges facing those who pursue qualitative inquiry in the course of completing a graduate research degree: how we learn about research methodology and how we think about, use, and support the use of computer software research tools. The paper explores some of the assumptions inherent in the language of inquiry and discusses critical issues that qualitative researchers struggle with and continue to debate.",Bobbi A. Kerlin,10.1163/22116028-03801037,International Labour Law Reports Online,,adrf-000136
