access_requirements,source_url,data_classification,data_provider,data_steward,adrf_id,geographical_coverage,geographical_unit,category,temporal_coverage_end,dataset_citation,external_id,data_usage_policy,filenames,access_actions_required,reference_url,data_steward_org,keywords,temporal_coverage_start,title,dataset_version,alias,dataset_documentation,dataset_header_desc,description,related_articles,source_archive
You must be enrolled in an ADRF class to access these data.,,Restricted,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago",Julia Lane,adrf-000074,Illinois,State,Health and Human Services,2017,"Illinois Department of Human Services (IDHS), Chapin Hall at the University of Chicago, 2017, ""Illinois Department of Human Services (IDHS) Cases Cancelled Due to Earnings and Newly Employed "", Applied Data Analytics Course [Distributor], 1 [Version]",,"This dataset is restricted to ADRF course participants who have approval and have agreed to the terms of use provided by the Illinois Department of Human Services (IDHS) and the ADRF. The user shall not attempt to re-identify individuals represented in the data and agree to not disclose any data contained therein to any unauthorized parties. Users of these data also agree to comply with all applicable Federal and State laws and regulations and with all applicable policies and procedures as set by the State of Illinois, including, but not limited to, the Illinois Public Aid Code (305 ILCS 5/1 et seq.), the Health Insurance Portability and Accountability Act (45 CFR Parts 160, 162, and 164), IRS Code (26 U.S.C. 1 et seq.), and other applicable state and federal laws. Any analyses and data products derived from the data must be reviewed by IDHS before export from this system. When access to the data is no longer required, the user agrees that they will not access or attempt to access any IDHS confidential information, or any confidential information in IDHS systems or other sources to which I have been given access. They agree also to return any and all reports, notes, memoranda, notebooks, drawings, and other confidential information or Data developed, received, compiled by or delivered to them in order to carry out functions under the contract or subcontract, regardless of the source of the confidential information or Data.
","adrf-000074-snap_cancelled_earnings_redacted.csv,adrf-000074-snap_newly_employed.csv,adrf-000074-tanf_cancelled_earnings_redacted.csv,adrf-000074-tanf_newly_employed.csv","This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database.",https://enclave.chapinhall.org/?q=node/953,"Center for Urban Science and Progress (CUSP), NYU","welfare,public assistance,tanf,food stamps,human services,socioeconomics,employment,snap",2008,Illinois Department of Human Services (IDHS) Cases Cancelled Due to Earnings and Newly Employed ,1,Illinois Department of Human Services IDHS Cases Cancelled Due to Earnings and Newly Employed,IDHS-data_for_appliedda_class.pdf,"adrf-000074-snap_cancelled_earnings_redacted.csv:adrf-000074-snap_cancelled_earnings_redacted_dd.csv,adrf-000074-snap_newly_employed.csv:adrf-000074-snap_newly_employed_dd.csv,adrf-000074-tanf_cancelled_earnings_redacted.csv:adrf-000074-tanf_cancelled_earnings_redacted_dd.csv,adrf-000074-tanf_newly_employed.csv:adrf-000074-tanf_newly_employed_dd.csv","This dataset, supplied by the Illinois Department of Human Services (IDHS), contains newly employed monthly lists going back to 08/2008 and cases cancelled due to earnings going back to 07/2010 for both the SNAP and TANF programs in Illinois. Case IDs have been provided by IDHS and have been enriched by related data for those case IDs from the Illinois Public Assistance Research Database from Chapin Hall at the University of Chicago. Tables are found in the database under: idhs.snap_cancelled_earnings_redacted, idhs.snap_newly_employed, idhs.tanf_cancelled_earnings_redacted, and idhs.tanf_newly_employed",,Illinois Public Assistance Research Database
You must be enrolled in an ADRF class to access these data.,,Restricted,Missouri Office of Administration,Julia Lane,adrf-000096,Missouri,State,Economic Characteristics,2016,"Missouri Office of Administration, US Census Bureau, 2018, ""Missouri Unemployment Insurance (UI) wage 2006-2016"", Applied Data Analytics Course [Distributor], 1 [Version]",,"All data provided here are protected under the provisions of Title 13, U.S. Code. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.","adrf-000096-mo_wage.csv,adrf-000096-mo_wage_percentile.csv","This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",,Coleridge Initiative,"income,welfare,socioeconomics",2006,Missouri Unemployment Insurance (UI) wage 2006-2016,1,Missouri Unemployment Insurance UI wage,"missouri_state_lehd_wage_and_employers_data_2006-2016.pdf,create-mo-wage-percentile-table.ipynb","adrf-000096-mo_wage.csv:adrf-000096-mo_wage_dd.csv,adrf-000096-mo_wage_percentile.csv:adrf-000096-mo_wage_percentile_dd.csv","Quarterly records of wages for every job held by each person in the state of Missouri from 2006 to 2016. This data is derived from the Missouri state Unemployment Insurance (UI) wage file that is supplied to the United States Census Bureau for use in producing Quarterly Workforce Indicators (QWI).


The mo_wage_percentile table provides the quarterly percentile values of the number of jobs, average earnings, and total earnings for employees' covered sector jobs across the state of MO by year and quarte. These data are derived from the kcmo_lehd.mo_wage table for the years 2006- 2016. The code used to create this table is provided in the create-mo-wage-percentiles.ipynb notebook. Data usage example: for all the people employed in a covered sector in MO in 2008q2, the median value of the number of jobs would be found in column ""job_qtile"" where the row is year=2008, q=2, and pctile=50


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in the partitioned course database table: kcmo_lehd.mo_wage.","1,2,64,65,66,67,68",Missouri Office of Administration
You must be enrolled in an ADRF class to access these data.,,Restricted,Missouri Office of Administration,Julia Lane,adrf-000097,Missouri,"State,Point,Census Tract,Census Block",Economic Characteristics,2016,"Missouri Office of Administration, US Census Bureau, 2018, ""Missouri Census LEHD Employer records - 2006-2016"", Applied Data Analytics Course [Distributor], 1 [Version]",,"All data provided here are protected under the provisions of Title 13, U.S. Code. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.",adrf-000097-mo_qcew_employers.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",,Coleridge Initiative,"income,welfare,socioeconomics,employment",2006,Missouri Census LEHD Employer records - 2006-2016,1,Missouri Census LEHD Employer records,missouri_state_lehd_wage_and_employers_data_2006-2016.pdf,adrf-000097-mo_qcew_employers.csv:adrf-000097-mo_qcew_employers_dd.csv,"Detailed quarterly information on all of the employers who are present in Missouri state wage files from 2006 to 2016. Employer information includes address information, key dates in the quarter, and information on wages and employees per business per quarter.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in course database table: kcmo_lehd.mo_qcew_employers","4,65,66",Missouri Office of Administration
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,The City of Kansas City,Julia Lane,adrf-000098,"Kansas City, MO","City,Point",Utilities,2/27/18 0:00,"The City of Kansas City, 2018, ""Kansas City, Missouri Water Customer Data"", The City of Kansas City [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,"adrf-000098-cust_code_hashed_ein_dd.csv,adrf-000098-gis_map_link_prem_dd.csv,adrf-000098-ubbchst_consumption_history_dd.csv,adrf-000098-ucbprem_premises_dd.csv,adrf-000098-ucracct_account_repeating_dd.csv,adrf-000098-ucrserv_services_repeating_dd.csv,adrf-000098-utrsrat_service_rate_codes_dd.csv,adrf-000098-utrstyp_valid_service_type_rules_dd.csv,adrf-000098-utvscls_service_class_validation_dd.csv,adrf-000098-utvsrat_service_rate_code_validation_dd.csv",Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,https://www.kcwaterservices.org,Coleridge Initiative,"water,consumer,infrastructure",12/14/09 0:00,"Kansas City, Missouri Water Customer Data",1,Kansas City Missouri Water Customer Data,kcmo_consumer_water_data.pdf,"adrf-000098-cust_code_hashed_ein.csv:adrf-000098-cust_code_hashed_ein_dd.csv,adrf-000098-gis_map_link_prem.csv:adrf-000098-gis_map_link_prem_dd.csv,adrf-000098-ubbchst_consumption_history.csv:adrf-000098-ubbchst_consumption_history_dd.csv,adrf-000098-ucbprem_premises.csv:adrf-000098-ucbprem_premises_dd.csv,adrf-000098-ucracct_account_repeating.csv:adrf-000098-ucracct_account_repeating_dd.csv,adrf-000098-ucrserv_services_repeating.csv:adrf-000098-ucrserv_services_repeating_dd.csv,adrf-000098-utrsrat_service_rate_codes.csv:adrf-000098-utrsrat_service_rate_codes_dd.csv,adrf-000098-utrstyp_valid_service_type_rules.csv:adrf-000098-utrstyp_valid_service_type_rules_dd.csv,adrf-000098-utvscls_service_class_validation.csv:adrf-000098-utvscls_service_class_validation_dd.csv,adrf-000098-utvsrat_service_rate_code_validation.csv:adrf-000098-utvsrat_service_rate_code_validation_dd.csv","Kansas City, Missouri water utility customer data. Includes water consumption histories from 2009 - 2018, details and GIS location for premises where water services are delivered, account and service details, code details, and a table for connecting premises via hashed Federal Employer ID Numbers (EIN) for with records in the Missouri LEHD wage and employers data. ",,The City of Kansas City
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,http://www.kansascity.com/,Restricted,The Kansas City Star,Drew Gordon,adrf-000101,"Kansas City, MO",City,Economic Characteristics,4/13/18 0:00,"The Kansas City Star, 2018, ""The Kansas City Star Full Text Business Section Articles - May 2016 - April 2018"", http://www.kansascity.com/, The Kansas City Star [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000101-kansas_city_star_business_articles_2016_2018.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,http://www.kansascity.com/,Coleridge Initiative,"Business,News,Newspapers,Text analysis",5/1/16 0:00,The Kansas City Star Full Text Business Section Articles - May 2016 - April 2018,1,The Kansas City Star Full Text Business Section Articles May April,"kc_star_text_parsing.ipynb,KC_STAR.zip",adrf-000101-kansas_city_star_business_articles_2016_2018.csv:adrf-000101-kansas_city_star_business_articles_2016_2018_dd.csv,Full text and related metadata for 1000 articles published in the Kansas City Star business section between May 2016 and April 2018.,,The Kansas City Star
No access restrictions on this dataset,,Public,US Census Bureau,Clayton Hunter,adrf-000102,"Kansas City, MO",City,Census Geography,,,,This dataset is intended for public access and use.,adrf-000102-kcmo_census_tracts_troost_flag.csv,No further actions required to access this dataset,,Coleridge Initiative,"Census,Geography,Tracts,Troost",,Kansas City Missouri census tracts with flag for East or West of Troost Street,1,Kansas City Missouri census tracts with flag for East or West of Troost Street,,adrf-000102-kcmo_census_tracts_troost_flag.csv:adrf-000102-kcmo_census_tracts_troost_flag_dd.csv,"Coded census tracts for Kansas City, Missouri by which side of Troost St (the historic redlining divide) they were on. This is rerecorded under the location field (1 = East of Troost St, 0 = West of Troost St). I determined the study area boundaries by the state line (west), the Blue River (east), the I-435 (south), and the Missouri River (north). Tracts that Troost ran through and those that primarily contained parks, industry, or other non-business uses are excluded.",,
No access restrictions on this dataset,https://data.kcmo.org/browse?limitTo=datasets&anonymous=true&q=crime%20data&sortBy=relevance,Public,"Board of Police Commissioners of Kansas City, Missouri",Drew Gordon,adrf-000103,"Kansas City, MO","City,Point",Criminal Justice,4/25/18 0:00,"Board of Police Commissioners of Kansas City, Missouri, 2018, ""Kansas City Police Department Crime Data 2009-2018"", http://www.kansascity.com/, The Kansas City Star [Distributor], 1 [Version]",,This dataset is intended for public access and use.,adrf-000103-kcpd_crime_data_2009_2018.csv,No further actions required to access this dataset,,Coleridge Initiative,"crime,crime data,police data",1/1/09 0:00,Kansas City Police Department Crime Data 2009-2018,1,Kansas City Police Department Crime Data,,adrf-000103-kcpd_crime_data_2009_2018.csv:adrf-000103-kcpd_crime_data_2009_2018_dd.csv,"Kansas City Police Department Crime data as collected from the Kansas City Missouri open data portal for the years 2009-April 2018 and compiled into a single dataset.



This is the most current information as of the date of upload. This provides the user the ability to view the most current crime information within Kansas City, Missouri. The displayed information is the most current information from the data source as of the date of upload. The data source is dynamic and therefore constantly changing. Changes to the information may occur, as incident information is refined. While the Board of Police Commissioners of Kansas City, Missouri (Board) makes every effort to maintain and distribute accurate information, no warranties and/or representations of any kind are made regarding information, data or services provided. The Board is not responsible for misinterpretation of this information and makes no inference or judgment as to the relative safety to any particular area or neighborhood. In no event shall the Board be liable in any way to the users of this data. Users of this data shall hold the Board harmless in all matters and accounts arising from the use and/or accuracy of this data.",,Kansas City Open Data Portal
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Indiana Department of Workforce Development (DWD),Julia Lane,adrf-000119,Indiana,State,Economic Characteristics,2018,"Indiana Department of Workforce Development (DWD), 2019, ""Indiana wage records by quarter 2005-2018"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000119-in_wage_sums.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"wages,employer counts",2005,Indiana wage records by quarter 2005-2018,1,Indiana wage records by quarter,indiana_datasets_adrf.docx,adrf-000119-in_wage_sums.csv:adrf-000119-in_wage_sums_dd.csv,"Wage sums and number of employers' for each person by quarter.  This set is created to examine workforce outcomes for students K-12, higher education, unemployment claimants returning to work, and our DWD customers receiving services from our local offices.  This data set includes:  social security number, year/quarter that the wage was earned, wage sum, and number of employers.  Data is gathered from employers UC-5 quarterly tax filings.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Indiana Department of Workforce Development (DWD),Julia Lane,adrf-000120,Indiana,State,Economic Characteristics,2018,"Indiana Department of Workforce Development (DWD), 2019, ""Indiana wage records by employer 2005-2018"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000120-in_wages_by_employer.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"wages,employers,industry naics,county of employer,region of employer",2005,Indiana wage records by employer 2005-2018,1,Indiana wage records by employer,indiana_datasets_adrf.docx,adrf-000120-in_wages_by_employer.csv:adrf-000120-in_wages_by_employer_dd.csv,"Wage records for each person by quarter by employer.  This set is created to examine workforce outcomes for students K-12, higher education, unemployment claimants returning to work, and our DWD customers receiving services from our local offices.  This data set includes:  social security number, year/quarter that the wage was earned, Unemployment Insurance (UI) account number, Federal Identification Employer Number (FEIN), wages earned from the employer, 3-digit industry NAICS code, county and Indiana economic growth region of employer.  Data is gathered from employers' UC-5 quarterly tax filings.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Indiana Commission for Higher Education (CHE),Julia Lane,adrf-000121,Indiana,State,Education,2018,"Indiana Commission for Higher Education (DWD), 2019, ""Indiana Public Higher Education Enrollments, 2005-2006 Through 2017-2018"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000121-in_che_enrollments.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"college enrollment,degrees,demographics,residency,entry type",2005,"Indiana Public Higher Education Enrollments, 2005-2006 Through 2017-2018",1,Indiana Public Higher Education Enrollments Through,indiana_datasets_adrf.docx,adrf-000121-in_che_enrollments.csv:adrf-000121-in_che_enrollments_dd.csv,"Enrollment records from all public higher institutions in Indiana. This set includes records level data, including year of enrollment, social security number, degree by CIP and degree level of enrollment program, demographics, residency status at time of college entry, location of origin, degree seeking indicator, and entry type of student. Private institutions in Indiana are not included in this dataset.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Indiana Commission for Higher Education (CHE),Julia Lane,adrf-000122,Indiana,State,Education,2018,"Indiana Commission for Higher Education (DWD), 2019, ""Indiana Public Higher Education Degree Completions 2005-2006 Through 2017-2018"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000122-in_che_completions.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"college completions,degrees,demographics,residency,entry type",2005,Indiana Public Higher Education Degree Completions 2005-2006 Through 2017-2018,1,Indiana Public Higher Education Degree Completions Through,indiana_datasets_adrf.docx,adrf-000122-in_che_completions.csv:adrf-000122-in_che_completions_dd.csv,"Degree completion records from all public higher institutions in Indiana. This set includes records level data, including year of degree completions, social security number, degree by CIP and degree level of program of degree completions, demographics, residency status at time of college entry, location of origin, and date on which the student received their degree. Private institutions in Indiana are not included in this dataset.",,
You must be enrolled in an ADRF class to access these data.,,Restricted,Missouri Office of Administration,Julia Lane,adrf-000096,Missouri,State,Economic Characteristics,2017,"Missouri Office of Administration, US Census Bureau, 2018, ""Missouri Unemployment Insurance (UI) wage 2006-2017"", Applied Data Analytics Course [Distributor], 2 [Version]",,"All data provided here are protected under the provisions of Title 13, U.S. Code. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.","adrf-000096-mo_wage.csv,adrf-000096-mo_wage_percentile.csv","This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",,Coleridge Initiative,"income,welfare,socioeconomics",2006,Missouri Unemployment Insurance (UI) wage 2006-2017,2,Missouri Unemployment Insurance UI wage,"missouri_state_lehd_wage_and_employers_data_2006-2016.pdf,create-mo-wage-percentile-table.ipynb","adrf-000096-mo_wage.csv:adrf-000096-mo_wage_dd.csv,adrf-000096-mo_wage_percentile.csv:adrf-000096-mo_wage_percentile_dd.csv","Quarterly records of wages for every job held by each person in the state of Missouri from 2006 to 2016. This data is derived from the Missouri state Unemployment Insurance (UI) wage file that is supplied to the United States Census Bureau for use in producing Quarterly Workforce Indicators (QWI).


The mo_wage_percentile table provides the quarterly percentile values of the number of jobs, average earnings, and total earnings for employees' covered sector jobs across the state of MO by year and quarte. These data are derived from the kcmo_lehd.mo_wage table for the years 2006- 2016. The code used to create this table is provided in the create-mo-wage-percentiles.ipynb notebook. Data usage example: for all the people employed in a covered sector in MO in 2008q2, the median value of the number of jobs would be found in column ""job_qtile"" where the row is year=2008, q=2, and pctile=50


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in the partitioned course database table: kcmo_lehd.mo_wage.",,Missouri Office of Administration
You must be enrolled in an ADRF class to access these data.,,Restricted,Missouri Office of Administration,Julia Lane,adrf-000097,Missouri,"State,Point,Census Tract,Census Block",Economic Characteristics,2017,"Missouri Office of Administration, US Census Bureau, 2018, ""Missouri Census LEHD Employer records - 2006-2017"", Applied Data Analytics Course [Distributor], 2 [Version]",,"All data provided here are protected under the provisions of Title 13, U.S. Code. The user shall not attempt to re-identify individuals represented in the data and agree not to disclose any data contained here to any unauthorized parties. Any analyses and data products derived from the data must be reviewed by IDES before export from this system.",adrf-000097-mo_qcew_employers.csv,"This is ADRF course data. In order to access, you must have signed the appropriate NDA and agreed to the ADRF terms of usage. These data are located in the course database. Field specific metadata are a sample only.",,Coleridge Initiative,"income,welfare,socioeconomics,employment",2006,Missouri Census LEHD Employer records - 2006-2017,2,Missouri Census LEHD Employer records,missouri_state_lehd_wage_and_employers_data_2006-2016.pdf,adrf-000097-mo_qcew_employers.csv:adrf-000097-mo_qcew_employers_dd.csv,"Detailed quarterly information on all of the employers who are present in Missouri state wage files from 2006 to 2016. Employer information includes address information, key dates in the quarter, and information on wages and employees per business per quarter.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in course database table: kcmo_lehd.mo_qcew_employers",,Missouri Office of Administration
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Higher Education (DHE),Julia Lane,adrf-000123,Missouri,State,Education,2017,"Missouri Department of Higher Education (DHE), 2019, ""Missouri Department of Higher Education (DHE) - Term Registrations, 2006-2017"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000123-mo_dhe_term.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"higher education,enrollment,registration",2006,"Missouri Department of Higher Education (DHE) - Term Registrations, 2006-2017",1,Missouri Department of Higher Education DHE Term Registrations,,adrf-000123-mo_dhe_term.csv:adrf-000123-mo_dhe_term_dd.csv,"Term registation records from all public higher institutions in Missouri. This set includes records level data, including year of term regisgtration, random and anonymized student ID, degree by CIP and degree level of enrollment program, demographics, county of origin, degree seeking indicator. Terms are separated as Summer, Fall, Spring, Winter.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Higher Education (DHE),Julia Lane,adrf-000124,Missouri,State,Education,2016,"Missouri Department of Higher Education (DHE), 2019, ""Missouri Department of Higher Education (DHE) - Enrollments, 2006-2016"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000124-mo_dhe_enrollments.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"higher education,college enrollment,degrees,demographics",2006,"Missouri Department of Higher Education (DHE) - Enrollments, 2006-2016",1,Missouri Department of Higher Education DHE Enrollments,,adrf-000124-mo_dhe_enrollments.csv:adrf-000124-mo_dhe_enrollments_dd.csv,"Enrollment records from all public higher institutions in Missouri. This set includes records level data, including year of enrollment, random and anonymized student ID, degree by CIP and degree level of enrollment program, county of origin, type of higher education institution, and demographics.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Higher Education (DHE),Julia Lane,adrf-000125,Missouri,State,Education,2017,"Missouri Department of Higher Education (DHE), 2019, ""Missouri Department of Higher Education (DHE) - Completions, 2006-2017"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000125-mo_dhe_completions.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"college completions,degrees,demographics",2006,"Missouri Department of Higher Education (DHE) - Completions, 2006-2017",1,Missouri Department of Higher Education DHE Completions,,adrf-000125-mo_dhe_completions.csv:adrf-000125-mo_dhe_completions_dd.csv,"Completion records from all public higher institutions in Missouri. This set includes records level data, including year of completion, random and anonymized student ID, degree by CIP and degree level of enrollment program, county of origin, type of higher education institution, and demographics.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Corrections (DOC),Julia Lane,adrf-000126,Missouri,State,Inmate Populations,2019,"Missouri Department of Corrections (DOC) - Classes, 2019, ""Missouri Department of Corrections (DOC) - Classes"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000126-mo_doc_releases.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"criminal justice system,inmates,jail,correctional facilities,training programs,demographics,offenses",1989,Missouri Department of Corrections (DOC) - Classes,1,Missouri Department of Corrections DOC Classes,,adrf-000126-mo_doc_releases.csv:adrf-000126-mo_doc_releases_dd.csv,"Record level data of Missouri Department of Corrections inmates participation in training programs and classes while incarcerated. Information on inmate class participation includes program name and type, when it started and when it ended, type and reason for exit from the class or program and a unique ID to link to the individual.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Corrections (DOC),Julia Lane,adrf-000127,Missouri,State,Inmate Populations,2018,"Missouri Department of Corrections (DOC) - Classes, 2019, ""Missouri Department of Corrections (DOC) - Releases"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000127-mo_doc_classes.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"criminal justice system,inmates,jail,correctional facilities,exits,demographics,offenses",2005,Missouri Department of Corrections (DOC) - Releases,1,Missouri Department of Corrections DOC Releases,,adrf-000127-mo_doc_classes.csv:adrf-000127-mo_doc_classes_dd.csv,"Record level data of inmates released from Missouri Department of Corrections. Information on inmates includes unique and anonymous identifiers, hashed first, middle, and last name, demographic information, age and date of admission, date of release, information on parole, sentence, information on offenses for individual, and assessment/education/vocational scores.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Corrections (DOC),Julia Lane,adrf-000128,Missouri,State,Inmate Populations,,"Missouri Department of Corrections (DOC) - Classes, 2019, ""Missouri Department of Corrections (DOC) - Hashed SSN to Hashed MO DOC ID Crosswalk"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000128-mo_doc_ssn_to_docid.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"criminal justice system,inmates,jail,correctional facilities,crosswalk",,Missouri Department of Corrections (DOC) - Hashed SSN to Hashed MO DOC ID Crosswalk,1,Missouri Department of Corrections DOC Hashed SSN to Hashed MO DOC ID Crosswalk,,adrf-000128-mo_doc_ssn_to_docid.csv:adrf-000128-mo_doc_ssn_to_docid_dd.csv,"This crosswalk table maps individuals in Missouri Department of Corrections classes and releases data by their DOC ID to their hashed SSN, so that this data may be combined with other datasets where the SSN has been hased with the same HMAC secret key.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Labor and Industrial Relations (DOLIR),Julia Lane,adrf-000129,Missouri,State,Economic Characteristics,2019,"Missouri Department of Labor and Industrial Relations (DOLIR), 2019, ""Missouri Department of Labor and Industrial Relations (DOLIR) Unemployment Insurance Claims"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000129-mo_dolir_ui_claims.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"income,welfare,socioeconomics,employment",2005,Missouri Department of Labor and Industrial Relations (DOLIR) Unemployment Insurance Claims,1,Missouri Department of Labor and Industrial Relations DOLIR Unemployment Insurance Claims,,adrf-000129-mo_dolir_ui_claims.csv:adrf-000129-mo_dolir_ui_claims_dd.csv,"Record level data from Missouri Department of Labor and Industrial Relations on monthly individual unemployment insurance claims. Dataset includes hashed ssn, first, last and middle names, claimant demographic and occupation information, claim and wage information, last day worked.",,
Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Restricted,Missouri Department of Labor and Industrial Relations (DOLIR),Julia Lane,adrf-000130,Missouri,State,Economic Characteristics,2019,"Missouri Department of Labor and Industrial Relations (DOLIR), 2019, ""Missouri Department of Labor and Industrial Relations (DOLIR) Unemployment Insurance Payments"", Applied Data Analytics Course [Distributor], 1 [Version]",,These data are being provided for educational purposes for use in Applied Data Analytics program. Dataset may only be accessed and used by ADRF users who are members of a course using these data.,adrf-000130-mo_dolir_ui_payments.csv,Dataset may only be accessed and used by members of the Applied Data Analytics course using these data.,,Coleridge Initiative,"income,welfare,socioeconomics,employment",2006,Missouri Department of Labor and Industrial Relations (DOLIR) Unemployment Insurance Payments,1,Missouri Department of Labor and Industrial Relations DOLIR Unemployment Insurance Payments,,adrf-000130-mo_dolir_ui_payments.csv:adrf-000130-mo_dolir_ui_payments_dd.csv,"Record level data from Missouri Department of Labor and Industrial Relations on monthly individual unemployment insurance payments. Dataset includes hashed SSN to link to claims data, claim ID, program type, date and amount of payment.",,
